Nom;Prenom;AdresseMail;Téléphone;Manager;Service;Fonction;Pays;UserPrincipalName;Alias1;Alias2
User1;Test1;user1@mubicorp.com;0102030401;CN=Manager2;OU=Service2;Fonction2;France;user1@mubicorp.com;user1.alias1;user1.alias2
User2;Test2;user2@mubicorp.com;0102030402;CN=Manager3;OU=Service3;Fonction3;France;user2@mubicorp.com;user2.alias1;user2.alias2
User3;Test3;user3@mubicorp.com;0102030403;CN=Manager1;OU=Service4;Fonction4;France;user3@mubicorp.com;user3.alias1;user3.alias2
User4;Test4;user4@mubicorp.com;0102030404;CN=Manager2;OU=Service5;Fonction5;France;user4@mubicorp.com;user4.alias1;user4.alias2
User5;Test5;user5@mubicorp.com;0102030405;CN=Manager3;OU=Service1;Fonction6;France;user5@mubicorp.com;user5.alias1;user5.alias2
User6;Test6;user6@mubicorp.com;0102030406;CN=Manager1;OU=Service2;Fonction7;France;user6@mubicorp.com;user6.alias1;user6.alias2
User7;Test7;user7@mubicorp.com;0102030407;CN=Manager2;OU=Service3;Fonction1;France;user7@mubicorp.com;user7.alias1;user7.alias2
User8;Test8;user8@mubicorp.com;0102030408;CN=Manager3;OU=Service4;Fonction2;France;user8@mubicorp.com;user8.alias1;user8.alias2
User9;Test9;user9@mubicorp.com;0102030409;CN=Manager1;OU=Service5;Fonction3;France;user9@mubicorp.com;user9.alias1;user9.alias2
User10;Test10;user10@mubicorp.com;0102030410;CN=Manager2;OU=Service1;Fonction4;France;user10@mubicorp.com;user10.alias1;user10.alias2
User11;Test11;user11@mubicorp.com;0102030411;CN=Manager3;OU=Service2;Fonction5;France;user11@mubicorp.com;user11.alias1;user11.alias2
User12;Test12;user12@mubicorp.com;0102030412;CN=Manager1;OU=Service3;Fonction6;France;user12@mubicorp.com;user12.alias1;user12.alias2
User13;Test13;user13@mubicorp.com;0102030413;CN=Manager2;OU=Service4;Fonction7;France;user13@mubicorp.com;user13.alias1;user13.alias2
User14;Test14;user14@mubicorp.com;0102030414;CN=Manager3;OU=Service5;Fonction1;France;user14@mubicorp.com;user14.alias1;user14.alias2
User15;Test15;user15@mubicorp.com;0102030415;CN=Manager1;OU=Service1;Fonction2;France;user15@mubicorp.com;user15.alias1;user15.alias2
User16;Test16;user16@mubicorp.com;0102030416;CN=Manager2;OU=Service2;Fonction3;France;user16@mubicorp.com;user16.alias1;user16.alias2
User17;Test17;user17@mubicorp.com;0102030417;CN=Manager3;OU=Service3;Fonction4;France;user17@mubicorp.com;user17.alias1;user17.alias2
User18;Test18;user18@mubicorp.com;0102030418;CN=Manager1;OU=Service4;Fonction5;France;user18@mubicorp.com;user18.alias1;user18.alias2
User19;Test19;user19@mubicorp.com;0102030419;CN=Manager2;OU=Service5;Fonction6;France;user19@mubicorp.com;user19.alias1;user19.alias2
User20;Test20;user20@mubicorp.com;0102030420;CN=Manager3;OU=Service1;Fonction7;France;user20@mubicorp.com;user20.alias1;user20.alias2
User21;Test21;user21@mubicorp.com;0102030421;CN=Manager1;OU=Service2;Fonction1;France;user21@mubicorp.com;user21.alias1;user21.alias2
User22;Test22;user22@mubicorp.com;0102030422;CN=Manager2;OU=Service3;Fonction2;France;user22@mubicorp.com;user22.alias1;user22.alias2
User23;Test23;user23@mubicorp.com;0102030423;CN=Manager3;OU=Service4;Fonction3;France;user23@mubicorp.com;user23.alias1;user23.alias2
User24;Test24;user24@mubicorp.com;0102030424;CN=Manager1;OU=Service5;Fonction4;France;user24@mubicorp.com;user24.alias1;user24.alias2
User25;Test25;user25@mubicorp.com;0102030425;CN=Manager2;OU=Service1;Fonction5;France;user25@mubicorp.com;user25.alias1;user25.alias2
